ISIN,NAME,Country,Region,Years_With_Both_Scopes
US91822M5022,VEON ADR 1:25,NL,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
AT0000831706,WIENERBERGER,AT,EUR,"[2020, 2021, 2022, 2023, 2024]"
NO0003733800,ORKLA,NO,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
CH0010645932,GIVAUDAN 'N',CH,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
CH0418792922,SIKA,CH,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
FR0000130403,CHRISTIAN DIOR,FR,EUR,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
GB0031638363,INTERTEK GROUP,GB,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
DK0010234467,FLSMIDTH AND B,DK,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
FR0000121964,KLEPIERRE REIT,FR,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
IE00BTN1Y115,MEDTRONIC,IE,EUR,"[2013, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
GB00B67G5X01,WORKSPACE GROUP,GB,EUR,"[2015, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]"
SE0006993770,AXFOOD,SE,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
GB00BL6XZ716,CAPITAL & REGIONAL DEAD - DELIST.11/12/24,GB,EUR,"[2013, 2014, 2015, 2016, 2017, 2019, 2020, 2021, 2022, 2023]"
GB0002875804,BRITISH AMERICAN TOBACCO,GB,EUR,"[2013, 2014, 2015, 2016, 2019, 2020, 2021, 2022, 2023, 2024]"
ES0130670112,ENDESA,ES,EUR,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
FR0010533075,GETLINK,FR,EUR,"[2019, 2020, 2021, 2022, 2023, 2024]"
JE00BJ1DLW90,MAN GROUP,GB,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
GB0004544929,IMPERIAL BRANDS,GB,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
GB0003308607,SPECTRIS DEAD - DELIST.05/12/25,GB,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
IT0004810054,UNIPOL ASSICURAZIONI SPA,IT,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]"
GB00BN7SWP63,GLAXOSMITHKLINE,GB,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
ES0113679I37,BANKINTER 'R',ES,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
IT0005239360,UNICREDIT,IT,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
AT0000937503,VOESTALPINE,AT,EUR,"[2018, 2019, 2020, 2021, 2022, 2023, 2024]"
DE0008232125,DEUTSCHE LUFTHANSA,DE,EUR,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
GB00B012TP20,HALFORDS GROUP,GB,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]"
FR0000130213,LAGARDERE GROUPE,FR,EUR,"[2013, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
